file                                                                                                             format  type   num_seqs        sum_len  min_len  avg_len  max_len
/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/data/PRJNA508395/00_rawdata/SRR8427257/SRR8427257.fastq.gz  FASTQ   DNA   3,404,101  6,127,970,421       41  1,800.2  115,448
file                                                                                                             format  type   num_seqs        sum_len  min_len  avg_len  max_len
/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/data/PRJNA508395/00_rawdata/SRR8427256/SRR8427256.fastq.gz  FASTQ   DNA   4,487,361  7,552,678,149       13  1,683.1  115,702
file                                                                                                             format  type   num_seqs         sum_len  min_len  avg_len  max_len
/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/data/PRJNA508395/00_rawdata/SRR8427258/SRR8427258.fastq.gz  FASTQ   DNA   4,003,722  11,362,099,426       41  2,837.9  133,658
file                                                                                    format  type     num_seqs         sum_len  min_len  avg_len  max_len
/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/pipeline/data/P1_mNGS_merge.fasta  FASTA   DNA   299,742,292  30,027,471,628       50    100.2      101
file                                                                                    format  type     num_seqs         sum_len  min_len  avg_len  max_len
/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/pipeline/data/P2_mNGS_merge.fasta  FASTA   DNA   307,961,350  30,845,045,214       50    100.2      101
